Local Beam Search:  Max Values and Steps, f1 , Step Size 0.01, Beam Size 2
Max Vals Mean = 1.99998142866
Max Vals Std = 1.57452148488e-05
Num of Steps Mean = 284.67
Num of Steps Std = 183.110243023

1.9999835613634214      362
1.9999657296369668      395
1.999957314288558      163
1.999950492573614      255
1.9999545452392478      39
1.9999565353935265      23
1.9999969381486995      529
1.999976887477761      380
1.999951774114242      599
1.9999739353149466      388
1.9999973463633898      424
1.999996852422552      191
1.9999582703871712      147
1.9999965409368508      556
1.9999759671660882      404
1.9999885100726482      245
1.99999441017618      326
1.9999774925757499      289
1.9999848398415292      123
1.9999959173124173      18
1.9999874748082387      547
1.9999918109519537      318
1.9999861880306429      83
1.9999818013879809      245
1.99995991853489      435
1.9999993963254752      576
1.9999529828492522      477
1.9999997905570521      281
1.9999944543471717      577
1.9999917989699036      141
1.9999911717995695      309
1.9999974193024397      167
1.9999963710646993      123
1.9999973823458526      612
1.9999850526694984      148
1.999949753579637      64
1.9999997563427723      365
1.9999843383722857      599
1.9999902781127061      333
1.999968015947313      33
1.9999885465448963      258
1.9999989682451318      587
1.999993507918893      618
1.9999831266104495      610
1.9999491776905751      498
1.9999552137804932      236
1.9999734124975044      129
1.999963051693112      130
1.9999999005043683      167
1.9999535513459068      131
1.9999850908683299      185
1.9999529130704183      214
1.9999915409701217      437
1.9999824368561971      202
1.9999883825935023      235
1.9999968937506445      473
1.9999682214238503      395
1.9999837994487633      192
1.999985771123391      142
1.9999977398694284      59
1.9999899783146877      136
1.99999783986528      41
1.9999922503145562      495
1.9999585587271926      40
1.9999598272993593      61
1.9999936609764966      514
1.9999891991305354      240
1.9999834456849803      62
1.9999966154128104      195
1.999998875844852      105
1.9999848265027365      319
1.9999832242415927      155
1.9999997292616012      202
1.9999494451533129      114
1.9999676446564374      239
1.9999756594794083      615
1.9999963493912674      99
1.9999910971419743      301
1.9999962438967485      597
1.999957946416377      230
1.9999836849332546      604
1.9999916267204512      239
1.9999991137127755      202
1.9999728977502806      53
1.9999942117047196      226
1.9999767800353525      101
1.99999938421078      105
1.999991993189791      139
1.9999965330473009      494
1.9999674281462103      609
1.999983894624156      32
1.999962118515734      47
1.9999885742255445      429
1.999973569664566      174
1.9999581115475304      517
1.9999702660995005      97
1.9999896454263955      502
1.9999931981837042      204
1.9999967269310561      291
1.9999604260667552      455
  

Local Beam Search: Max Values and Steps, f2 , Step Size 0.01, Beam Size 2
Max Vals Mean = 2.99620987643
Max Vals Std = 0.00165756924315
Num of Steps Mean = 687.63
Num of Steps Std = 260.08439611

2.996791649884922      1063
2.9957439928914678      268
2.997054484483794      869
2.9935235796965287      973
2.9965111785794587      665
2.9937011757152523      665
2.994573245060642      330
2.9949353751058543      723
2.998174885017448      745
2.992891435948974      1170
2.9961288098350254      574
2.99674481994219      743
2.995795375872138      274
2.995558760778831      870
2.9967104897993417      544
2.9991221799808807      1145
2.996582341701198      1077
2.997189829369779      786
2.9983401787243853      258
2.9990866894942094      720
2.995738895691      330
2.993158228178019      969
2.993654698623077      504
2.994592788743131      643
2.9959295918215147      1177
2.995261750682017      612
2.995889042475685      271
2.9939025263805865      842
2.9981068590367452      676
2.99299381601592      443
2.9984488799235676      798
2.9982369495854417      801
2.996478519790876      514
2.996721658780739      702
2.995905130994904      1160
2.9949204272840753      838
2.9973047461103315      629
2.9974932411301687      363
2.995134905245604      337
2.9982648621660086      283
2.9948963478833486      916
2.99637426954281      882
2.998568117499929      361
2.9955202002941475      424
2.99722790750246      411
2.995031834458252      373
2.9961525198760617      465
2.996368626674272      427
2.992836437284524      377
2.9967806908290444      750
2.995669718199795      466
2.99608387489518      628
2.9955619385509675      750
2.9975979580095977      866
2.9943520364872667      844
2.9958985603727495      563
2.994396317034414      997
2.994232817807558      852
2.9952021264950934      423
2.9955660375934787      1109
2.996942923470448      970
2.999031411774614      707
2.9976177400021187      669
2.996319659214463      341
2.999016450785563      667
2.9958992621686042      436
2.9967894220705724      912
2.9978472846514226      918
2.9930460255541185      317
2.9945163030979525      965
2.9972642852901767      670
2.9957720032163424      404
2.9934010165354876      407
2.998396840012219      483
2.996887404276291      608
2.9989379715731124      571
2.9973357402296066      513
2.9981629835578647      695
2.9985546201321407      758
2.9962755851153204      915
2.995582027227038      1174
2.9969592769297586      1009
2.99797118797119      725
2.9991091336597218      1195
2.9961757627743286      923
2.9951698317253097      599
2.9953565257561046      752
2.993364970350382      511
2.9969418036632804      353
2.9992933262738477      1197
2.9971342145574074      728
2.9975731053893186      472
2.9948372638547003      715
2.9970113607295303      406
2.995467619522834      555
2.9945268527394804      879
2.994431242363044      500
2.9983337161271963      1070
2.99642838565362      1183
2.9936887693271164      653
-------------------------------------

Local Beam Search:  Max Values and Steps, f1 , Step Size 0.01, Beam Size 4
Max Vals Mean = 1.99998413309
Max Vals Std = 1.35782545281e-05
Num of Steps Mean = 322.9
Num of Steps Std = 191.715700974

1.9999739975592923      595
1.9999553015562377      615
1.9999731819559132      490
1.9999892197728746      219
1.9999977840547123      273
1.999985631984356      126
1.9999990033723165      351
1.9999947010969732      582
1.9999922981062088      549
1.9999795132373226      85
1.9999997321109055      41
1.9999960201311033      155
1.9999951327363186      554
1.9999929068272129      616
1.999966474779447      432
1.999985162785653      134
1.9999986577952122      414
1.9999817849057837      80
1.9999909616960612      593
1.9999955686199824      224
1.999975543725655      510
1.99996765592402      618
1.9999671499584943      108
1.9999968392201941      116
1.9999692217851646      182
1.9999522424801102      342
1.999995666492307      272
1.9999713749554955      358
1.9999784452418181      137
1.9999936241277583      627
1.999997018945937      219
1.9999993579722828      554
1.9999858761222318      598
1.9999972600454883      306
1.99999008636568      268
1.9999872929499862      111
1.9999971772571548      192
1.999985295209183      613
1.9999576873434997      320
1.9999846504873182      278
1.9999958873069317      279
1.9999975533445886      621
1.9999863408368084      156
1.9999690660768135      420
1.9999722680379868      388
1.999997417776151      626
1.999994722785965      40
1.9999947293286975      563
1.9999982383755337      11
1.9999706994339974      210
1.9999721404299784      96
1.9999542842394937      495
1.9999940649779058      86
1.999973765650798      94
1.9999754350485046      554
1.9999826982715114      64
1.9999953256879128      230
1.9999534798184202      515
1.9999997545033037      502
1.9999945861674218      215
1.9999995895952394      621
1.9999676566465914      134
1.9999810608748039      135
1.9999995415510798      196
1.999983569249055      45
1.9999814317652747      597
1.99996499435232      542
1.9999983974783966      149
1.9999988494571672      449
1.9999862232461383      588
1.9999978829171234      385
1.999999362287393      195
1.9999956843498596      137
1.9999545732049642      89
1.999987190622069      625
1.9999565258524812      347
1.999952077550095      138
1.999966222778876      512
1.9999997965054843      572
1.9999836904952297      121
1.9999788287266762      426
1.9999874859660256      128
1.9999886144671344      91
1.9999878183543536      333
1.99999834600249      265
1.9999721456402366      174
1.9999856148234092      106
1.9999823571382631      582
1.999990161037799      301
1.9999704908930571      534
1.999992264984939      247
1.9999621834791688      399
1.9999773256734399      129
1.999972754350361      350
1.9999813420165435      376
1.9999987565911437      154
1.99998377912639      349
1.999995674596264      144
1.999998343487305      196
1.9999897411520768      407
  

Local Beam Search: Max Values and Steps, f2 , Step Size 0.01, Beam Size 4
Max Vals Mean = 2.996564007
Max Vals Std = 0.0015751994408
Num of Steps Mean = 713.49
Num of Steps Std = 269.408704202

2.994177674582458      887
2.995833406053499      632
2.995461478764692      969
2.999557462523793      298
2.99613039980529      451
2.99561811162822      522
2.997071239201099      363
2.9980585115126566      746
2.9937093486244137      500
2.9983349007921025      736
2.9952561494619516      716
2.993839326602459      614
2.9946498411649167      789
2.997183827580569      646
2.997324335627834      485
2.9957765966907104      1183
2.9984790023288097      594
2.9959007064239334      234
2.9955664595192815      861
2.996870281469477      1004
2.9946485830481917      753
2.9936188386780755      413
2.997387387967848      626
2.994795673276438      754
2.995671540213362      747
2.99686622559844      812
2.993237101610228      1144
2.997636777285379      1062
2.9951068350881362      745
2.996063344679505      1134
2.9982363357325603      823
2.996053118671931      694
2.9948584736685566      1055
2.998977981092555      995
2.9962942315284375      758
2.996418724284314      661
2.995062477248248      840
2.996105238817254      1176
